"x1","x2","class"
5.7702,4.4905,"A"
1.2606,-4.1803,"A"
-0.5259,7.6277,"A"
4.9984,-2.9163,"A"
-2.2618,8.3591,"A"
5.329,-1.2412,"A"
3.2001,-3.6211,"A"
6.4996,1.1313,"A"
6.4925,1.9799,"A"
1.583,-4.85,"A"
1.3575,8.4258,"A"
4.465,-4.2417,"A"
4.9768,4.7075,"A"
3.5465,5.2779,"A"
5.8519,3.488,"A"
5.8992,2.5917,"A"
4.7105,4.7036,"A"
4.7979,-2.891,"A"
6.5771,-0.2383,"A"
6.0832,-2.4303,"A"
-5.1932,7.0752,"A"
-5.5305,6.1275,"A"
2.9382,6.2806,"A"
5.5426,-2.9733,"A"
5.1543,6.2044,"A"
-6.1702,5.2084,"A"
6.1537,3.8674,"A"
-1.6827,7.3806,"A"
5.9117,0.3511,"A"
-1.3409,6.4586,"A"
6.3887,0.9094,"A"
6.2249,-0.4571,"A"
6.2353,0.5905,"A"
5.6283,2.2425,"A"
5.9122,2.2072,"A"
-3.5227,6.4506,"A"
1.1369,8.0764,"A"
3.5194,5.8573,"A"
6.1375,2.1671,"A"
6.7407,3.2815,"A"
5.1593,4.5257,"A"
6.2131,3.2169,"A"
3.1196,6.8439,"A"
-4.7799,7.9515,"A"
5.9283,2.897,"A"
-8.817,-1.0109,"A"
6.3012,3.0782,"A"
-1.7569,7.8192,"A"
-5.0442,-9.3236,"A"
-8.1445,3.5562,"A"
-0.7822,8.1553,"A"
3.795,6.5512,"A"
-7.5849,5.0415,"A"
-4.1652,7.845,"A"
-0.6796,8.3334,"A"
-6.4976,6.1449,"A"
-0.4999,8.5606,"A"
2.1089,-11.0931,"A"
-7.185,-7.361,"A"
-10.1205,0.1811,"A"
-9.1948,0.9178,"A"
-2.7681,7.3955,"A"
-9.7364,-1.1387,"A"
-3.664,7.1761,"A"
-0.0707,7.4329,"A"
-3.2302,-10.6547,"A"
-0.7554,7.9285,"A"
-5.8879,6.0889,"A"
-3.1323,6.8449,"A"
-1.0402,7.2069,"A"
-8.8065,-1.113,"A"
1.923,6.7535,"A"
-7.9954,4.2645,"A"
-5.8285,6.4356,"A"
0.5882,7.4547,"A"
-9.2356,2.4341,"A"
-7.6016,4.9309,"A"
-6.9205,5.5373,"A"
-6.2902,-8.4624,"A"
-8.556,-4.1019,"A"
-8.7896,1.016,"A"
-8.1246,-2.3617,"A"
-6.8767,5.9146,"A"
-8.9237,0.1171,"A"
-1.856,-10.2757,"A"
-9.1829,-1.6561,"A"
-9.1479,-4.0777,"A"
7.1361,-8.7388,"A"
-8.5478,2.8286,"A"
-3.7533,-9.5589,"A"
5.7095,-9.4155,"A"
-7.1944,6.1536,"A"
-8.6519,-4.1856,"A"
-9.4571,-1.8457,"A"
-9.6548,-0.0964,"A"
-8.891,4.2836,"A"
2.754,-0.3829,"B"
2.5465,0.0367,"B"
2.3466,-1.3149,"B"
2.809,-1.1783,"B"
0.6079,-2.5672,"B"
2.7984,2.0428,"B"
0.1974,0.2451,"B"
-0.2994,-1.3153,"B"
-1.1807,-0.5737,"B"
3.8186,-0.3189,"B"
0.4014,-1.352,"B"
1.3597,-2.5204,"B"
1.93,-0.9917,"B"
0.2413,-2.116,"B"
-0.4039,-0.0065,"B"
2.3803,1.8074,"B"
1.2392,-1.9929,"B"
3.5548,-0.534,"B"
2.3422,-1.6808,"B"
1.1659,-1.9403,"B"
2.4978,0.0046,"B"
3.8412,2.0817,"B"
-1.0617,-1.6661,"B"
0.1142,-1.6105,"B"
2.1399,3.3354,"B"
1.1923,-2.1214,"B"
2.7365,-0.1837,"B"
0.103,-0.3045,"B"
2.897,2.4686,"B"
3.9131,2.2088,"B"
2.9154,-1.7674,"B"
-0.7186,5.366,"B"
3.1728,-0.3832,"B"
2.3725,-1.1544,"B"
1.3769,4.3204,"B"
3.5238,2.1172,"B"
1.1691,3.9775,"B"
-0.9839,4.5611,"B"
3.5338,2.7066,"B"
2.5878,3.797,"B"
3.6716,-0.4948,"B"
3.3034,3.563,"B"
3.3827,-0.143,"B"
-1.8217,4.2091,"B"
2.7454,2.6891,"B"
3.3051,2.5289,"B"
2.1605,2.6598,"B"
0.7506,-2.4791,"B"
2.2827,0.4633,"B"
-6.0081,1.8133,"B"
0.1985,4.9499,"B"
2.1176,3.1592,"B"
2.3739,3.2192,"B"
2.3793,2.4278,"B"
1.2294,5.0611,"B"
-2.0061,5.304,"B"
3.2909,-0.0143,"B"
2.0136,2.6462,"B"
4.5353,-0.0377,"B"
2.6896,1.6166,"B"
-0.0481,5.1797,"B"
3.392,-0.0652,"B"
-4.6787,4.2763,"B"
-4.4944,2.974,"B"
1.0849,5.4016,"B"
-0.7449,4.7353,"B"
-6.6887,1.2886,"B"
3.4895,3.1489,"B"
2.9373,1.6316,"B"
2.5221,0.9827,"B"
3.5905,2.5168,"B"
2.1521,3.4681,"B"
-2.5753,4.2365,"B"
2.2799,2.8381,"B"
-0.7701,4.6063,"B"
-2.2889,4.5058,"B"
3.4508,3.0329,"B"
-6.3567,-1.6889,"B"
-6.3469,-0.5818,"B"
3.39,0.5406,"B"
0.1826,4.1851,"B"
-0.8792,4.3393,"B"
-3.8125,4.1145,"B"
1.8549,3.2158,"B"
-2.0271,4.8805,"B"
-6.873,0.788,"B"
-6.754,-0.5806,"B"
-5.1658,2.5872,"B"
-5.5281,3.1037,"B"
-1.5857,3.8569,"B"
-2.6622,3.694,"B"
-5.1584,-2.8033,"B"
-4.7472,3.5652,"B"
-1.4787,4.1948,"B"
-3.2926,-6.3786,"B"
-2.9718,3.9038,"B"
-5.6859,-3.6228,"B"
-6.5446,-1.1132,"B"
-6.2545,-0.1744,"B"
-4.569,3.1743,"B"
-4.7679,-4.5301,"B"
1.1894,4.6044,"B"
-2.2585,4.729,"B"
-6.2151,2.573,"B"
-6.8132,-0.6146,"B"
-5.003,-0.3341,"B"
-5.4785,2.0508,"B"
-5.2714,0.8714,"B"
-5.8338,-3.7689,"B"
-4.6586,2.8354,"B"
1.9455,3.9701,"B"
-6.0823,-1.5075,"B"
-2.8691,-6.9521,"B"
-2.1476,-6.83,"B"
-6.3786,-0.2896,"B"
-6.2731,-1.1511,"B"
1.668,-8.6423,"B"
-5.2842,1.2827,"B"
-5.3763,-2.3885,"B"
-4.8988,-6.2061,"B"
-6.1132,1.1454,"B"
-6.7887,-0.2402,"B"
-3.5449,-7.224,"B"
-5.639,-0.4027,"B"
-2.5626,-7.1008,"B"
-4.1284,3.352,"B"
-1.2791,4.7732,"B"
-2.0944,-8.0493,"B"
-5.0816,-4.518,"B"
-6.4261,-2.4643,"B"
-6.2634,-1.6463,"B"
3.1616,-7.3795,"B"
-6.1351,0.053,"B"
3.8174,-6.4018,"B"
-6.6442,-0.1949,"B"
-4.3901,-5.3165,"B"
-4.1572,-5.1929,"B"
2.0368,-8.9126,"B"
-5.1235,3.7716,"B"
-4.1543,-6.28,"B"
-3.3593,-7.3129,"B"
2.387,-7.6809,"B"
7.0098,-5.0912,"B"
-6.6362,-2.9462,"B"
2.2123,-7.9425,"B"
2.1368,-6.865,"B"
8.2306,-3.0067,"B"
-1.2099,-7.6074,"B"
9.1009,-3.4659,"B"
1.2865,-7.2752,"B"
-0.5794,-7.2743,"B"
5.289,-6.7588,"B"
3.9715,-7.5467,"B"
4.6403,-6.8886,"B"
7.3157,-2.4324,"B"
1.298,-7.7046,"B"
0.4798,-7.4693,"B"
3.0635,-7.765,"B"
9.5504,-1.143,"B"
6.2426,8.1626,"B"
9.6969,-0.0098,"B"
9.9051,-0.1451,"B"
6.8474,6.578,"B"
0.8171,-7.5161,"B"
-3.9844,-5.3103,"B"
-3.3716,-6.7406,"B"
7.6479,-4.618,"B"
6.9321,-4.8775,"B"
-6.4787,2.2562,"B"
7.7332,5.274,"B"
6.3752,-5.9955,"B"
6.6636,-4.7762,"B"
8.6793,-0.7115,"B"
-1.8523,-7.8491,"B"
2.9317,-6.8072,"B"
7.9499,5.0328,"B"
-0.8992,9.9369,"B"
8.7454,3.1901,"B"
9.3703,4.4576,"B"
-2.6676,-6.6558,"B"
6.6166,7.8453,"B"
7.3327,8.4139,"B"
8.5759,-4.573,"B"
9.1057,0.8671,"B"
6.6683,8.6927,"B"
-7.7267,9.6701,"B"
4.2978,-7.153,"B"
5.1892,9.5409,"B"
0.8219,11.4587,"B"
5.1147,8.5416,"B"
8.8692,4.2846,"B"
9.9779,0.7478,"B"
8.5038,3.8064,"B"
4.7247,9.816,"B"
6.7726,-5.9976,"B"
5.3281,-6.9075,"B"
8.5875,-3.4749,"B"
5.709,-6.5583,"B"
3.1093,-7.5556,"B"
-4.5155,11.0567,"B"
7.8104,-4.2194,"B"
